DATE,CPIUKA
1900-01-01,1.13
1901-01-01,1.13
1902-01-01,1.13
1903-01-01,1.14
1904-01-01,1.14
1905-01-01,1.14
1906-01-01,1.14
1907-01-01,1.16
1908-01-01,1.17
1909-01-01,1.17
1910-01-01,1.20
1911-01-01,1.20
1912-01-01,1.24
1913-01-01,1.24
1914-01-01,1.28
1915-01-01,1.43
1916-01-01,1.69
1917-01-01,2.12
1918-01-01,2.59
1919-01-01,2.85
1920-01-01,3.29
1921-01-01,3.01
1922-01-01,2.58
1923-01-01,2.43
1924-01-01,2.41
1925-01-01,2.42
1926-01-01,2.40
1927-01-01,2.34
1928-01-01,2.34
1929-01-01,2.31
1930-01-01,2.25
1931-01-01,2.15
1932-01-01,2.10
1933-01-01,2.05
1934-01-01,2.05
1935-01-01,2.07
1936-01-01,2.08
1937-01-01,2.15
1938-01-01,2.19
1939-01-01,2.25
1940-01-01,2.63
1941-01-01,2.91
1942-01-01,3.12
1943-01-01,3.22
1944-01-01,3.31
1945-01-01,3.40
1946-01-01,3.51
1947-01-01,3.75
1948-01-01,4.04
1949-01-01,4.16
1950-01-01,4.32
